card_id,name_ko,name_en,pool,scope,rarity,cost,type,status,modeled_clauses,total_clauses,unsupported_keywords,score_low,score_baseline,score_high,benchmark_v2,benchmark_v3,residual_low,residual_baseline,residual_high,rules,unmodeled_clauses,description_en
CRESCENT_SPEAR,초승달 창,Crescent Spear,regent,character,Common,E1+S1,Attack,partial,1,2,,4.0,4.0,4.0,,,,,,atomic_fixed,Deals 2 additional damage for ALL your cards that have a 1 Stars cost.,Deal 8 damage. Deals 2 additional damage for ALL your cards that have a 1 Stars cost.
CRIMSON_MANTLE,핏빛 망토,Crimson Mantle,ironclad,character,Rare,E1,Power,full_scenario,1,1,,6.375,15.725,25.5,6.5,6.5,-0.125,9.225,19.0,atomic_fixed|recurring_turns,,"At the start of your turn, lose 1 HP and gain 8 Block."
CRUELTY,악랄함,Cruelty,ironclad,character,Rare,E1,Power,partial,0,1,,0.0,0.0,0.0,6.5,6.5,,,,,Vulnerable enemies take an additional 25% damage.,Vulnerable enemies take an additional 25% damage.
CRUSH_UNDER,지면 파쇄,Crush Under,regent,character,Common,E1,Attack,full_fixed,2,2,,5.72,5.72,5.72,5.3,5.3,0.42,0.42,0.42,atomic_enemy_strength_loss_turn|atomic_fixed,,Deal 7 damage to ALL enemies. All enemies lose 1 Strength this turn.
CURSE_OF_THE_BELL,방울의 저주,Curse of the Bell,curse,curse,Curse,E-1,Curse,partial,0,0,UNPLAYABLE,0.0,0.0,0.0,,,,,,,,
DAGGER_SPRAY,단검 분사,Dagger Spray,silent,character,Common,E1,Attack,full_scenario,1,1,,5.2,5.45,5.95,5.3,5.3,-0.1,0.15,0.65,multi_hit_strength_synergy|simple_fixed_v3,,Deal 4 damage to ALL enemies twice.
DAGGER_THROW,단검 투척,Dagger Throw,silent,character,Common,E1,Attack,full_fixed,3,3,,6.0,6.0,6.0,5.3,5.3,0.7,0.7,0.7,simple_fixed_v3,,Deal 9 damage. Draw 1 card. Discard 1 card.
DANSE_MACABRE,죽음의 무도,Danse Macabre,necrobinder,character,Uncommon,E1,Power,full_scenario,1,1,,2.4,8.4,43.2,6.5,6.5,-4.1,1.9,36.7,atomic_fixed|event_triggers,,"Whenever you play a card that costs 2 Energy or more, gain 4 Block."
DARKNESS,어둠,Darkness,defect,character,Uncommon,E1,Skill,partial,1,2,,4.4,4.4,4.4,6.5,6.5,,,,atomic_fixed,Trigger the passive ability of all Dark Orbs.,Channel 1 Dark. Trigger the passive ability of all Dark Orbs.
DARK_EMBRACE,어둠의 포옹,Dark Embrace,ironclad,character,Rare,E2,Power,full_scenario,1,1,,1.25,4.375,22.5,17.0,17.0,-15.75,-12.625,5.5,atomic_fixed|event_triggers,,"Whenever a card is Exhausted, draw 1 card."
DARK_SHACKLES,어둠의 족쇄,Dark Shackles,colorless,colorless,Uncommon,E0,Skill,full_fixed,1,1,,7.1,7.1,7.1,4.25,4.25,2.85,2.85,2.85,atomic_enemy_strength_loss_turn,,Enemy loses 9 Strength this turn.
DASH,돌진,Dash,silent,character,Uncommon,E2,Attack,full_fixed,2,2,,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,simple_fixed_v3,,Gain 10 Block. Deal 10 damage.
DAZED,어지러움,Dazed,status,status,Status,E-1,Status,partial,0,0,UNPLAYABLE,-1.0,-1.0,-1.0,,,,,,,,
DEADLY_POISON,맹독,Deadly Poison,silent,character,Common,E1,Skill,full_fixed,1,1,,5.0,5.0,5.0,5.3,5.3,-0.3,-0.3,-0.3,simple_fixed_v3,,Apply 5 Poison.
DEATHBRINGER,죽음 인도자,Deathbringer,necrobinder,character,Uncommon,E2,Skill,full_fixed,1,1,,10.101,10.101,10.101,11.0,11.0,-0.899,-0.899,-0.899,simple_fixed_v3,,Apply 21 Doom and 1 Weak to ALL enemies.
DEATHS_DOOR,죽음의 문턱,Death's Door,necrobinder,character,Uncommon,E1,Skill,partial,1,2,,3.6,3.6,3.6,6.5,6.5,,,,atomic_fixed,"If you applied Doom this turn, gain Block 2 additional times.","Gain 6 Block. If you applied Doom this turn, gain Block 2 additional times."
DEATH_MARCH,죽음의 행진,Death March,necrobinder,character,Uncommon,E1,Attack,partial,1,2,,4.0,4.0,4.0,6.5,6.5,,,,atomic_fixed,Deals 4 additional damage for each card drawn during your turn.,Deal 8 damage. Deals 4 additional damage for each card drawn during your turn.
DEBILITATE,쇠락,Debilitate,necrobinder,character,Uncommon,E1,Attack,partial,1,2,,5.0,5.0,5.0,6.5,6.5,,,,atomic_fixed,Vulnerable and Weak are twice as effective against the enemy for the next 2 turns.,Deal 10 damage. Vulnerable and Weak are twice as effective against the enemy for the next 2 turns.
DEBRIS,잔해,Debris,status,status,Status,E1,Status,full_fixed,0,0,,-1.0,-1.0,-1.0,,,,,,,,
DEBT,빚,Debt,curse,curse,Curse,E-1,Curse,partial,0,1,UNPLAYABLE,0.0,0.0,0.0,,,,,,,"At the end of your turn, if this is in your Hand, lose 10 Gold.","At the end of your turn, if this is in your Hand, lose 10 Gold."
DECAY,부패,Decay,curse,curse,Curse,E-1,Curse,partial,1,1,UNPLAYABLE,-6.6,-2.849,0.0,,,,,,atomic_self_damage|condition_probability|recurring_turns,,"At the end of your turn, if this is in your Hand, take 2 damage."
DECISIONS_DECISIONS,어려운 결정,"Decisions, Decisions",regent,character,Rare,E0+S6,Skill,partial,1,2,,4.55,4.55,4.55,,,,,,atomic_fixed,Choose a Skill in your Hand and play it 3 times.,Draw 3 cards. Choose a Skill in your Hand and play it 3 times.
DEFEND_DEFECT,수비,Defend,defect,character,Basic,E1,Skill,full_fixed,1,1,,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,simple_fixed_v3,,Gain 5 Block.
DEFEND_IRONCLAD,수비,Defend,ironclad,character,Basic,E1,Skill,full_fixed,1,1,,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,simple_fixed_v3,,Gain 5 Block.
DEFEND_NECROBINDER,수비,Defend,necrobinder,character,Basic,E1,Skill,full_fixed,1,1,,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,simple_fixed_v3,,Gain 5 Block.
DEFEND_REGENT,수비,Defend,regent,character,Basic,E1,Skill,full_fixed,1,1,,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,simple_fixed_v3,,Gain 5 Block.
DEFEND_SILENT,수비,Defend,silent,character,Basic,E1,Skill,full_fixed,1,1,,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,simple_fixed_v3,,Gain 5 Block.
DEFILE,모독,Defile,necrobinder,character,Common,E1,Attack,full_fixed,1,1,,5.5,5.5,5.5,5.3,5.3,0.2,0.2,0.2,simple_fixed_v3,,Deal 13 damage.
DEFLECT,튕겨내기,Deflect,silent,character,Common,E0,Skill,full_fixed,1,1,,2.4,2.4,2.4,2.7,2.7,-0.3,-0.3,-0.3,simple_fixed_v3,,Gain 4 Block.
DEFRAGMENT,조각모음,Defragment,defect,character,Rare,E1,Power,full_fixed,1,1,,6.5,6.5,6.5,6.5,6.5,0.0,0.0,0.0,simple_fixed_v3,,Gain 1 Focus.
DEFY,반항,Defy,necrobinder,character,Common,E1,Skill,full_fixed,2,2,,4.7,4.7,4.7,5.3,5.3,-0.6,-0.6,-0.6,simple_fixed_v3,,Gain 6 Block. Apply 1 Weak.
DELAY,지연,Delay,necrobinder,character,Uncommon,E2,Skill,full_fixed,2,2,,8.6,8.6,8.6,11.0,11.0,-2.4,-2.4,-2.4,atomic_fixed|delay_next_turn,,"Gain 11 Block. Next turn, gain 1 Energy."
DEMESNE,권역,Demesne,necrobinder,character,Rare,E3,Power,full_scenario,1,1,,4.625,12.875,21.5,20.0,20.0,-15.375,-7.125,1.5,atomic_fixed|recurring_turns,,"At the start of your turn, gain 1 Energy and draw 1 additional card."
DEMONIC_SHIELD,악마의 방패,Demonic Shield,ironclad,character,Uncommon,E0,Skill,partial,1,2,,-1.55,-1.55,-1.55,5.0,4.3,,,,atomic_fixed,Give another player Block equal to your Block.,Lose 1 HP. Give another player Block equal to your Block.
DEMON_FORM,악마의 형상,Demon Form,ironclad,character,Rare,E3,Power,full_scenario,1,1,,9.75,24.05,39.0,20.0,20.0,-10.25,4.05,19.0,atomic_fixed|recurring_turns,,"At the start of your turn, gain 2 Strength."
DEVASTATE,초토화,Devastate,regent,character,Uncommon,E1+S4,Attack,full_fixed,1,1,,15.0,15.0,15.0,,,,,,simple_fixed_v3,,Deal 30 damage.
DEVOUR_LIFE,생명 삼키기,Devour Life,necrobinder,character,Rare,E1,Power,full_scenario,1,1,,1.1,3.85,19.8,6.5,6.5,-5.4,-2.65,13.3,atomic_fixed|event_triggers,,"Whenever you play a Soul, Summon 1."
DIRGE,장송가,Dirge,necrobinder,character,Uncommon,EX,Skill,partial,1,2,,0.0,1.0,3.0,,,,,,atomic_fixed|x_value,Summon 3 X times.,Summon 3 X times. Add X Souls into your Draw Pile.
DISCOVERY,발견,Discovery,colorless,colorless,Uncommon,E1,Skill,partial,1,2,,1.5,1.5,1.5,6.8,6.8,,,,atomic_free_generated_card,Choose 1 of 3 random cards to add into your Hand.,Choose 1 of 3 random cards to add into your Hand. It's free to play this turn.
DISINTEGRATION,분해,Disintegration,token,token,Status,E-1,Status,full_scenario,1,1,,-19.8,-12.21,-4.95,,,,,,atomic_self_damage|recurring_turns,,"At the end of your turn, take 6 damage."
DISMANTLE,해체,Dismantle,ironclad,character,Uncommon,E1,Attack,full_scenario,2,2,,4.0,6.8,8.0,6.5,6.5,-2.5,0.3,1.5,atomic_fixed|conditional_extra_hits,,"Deal 8 damage. If the enemy is Vulnerable, hits twice."
DISTRACTION,방해,Distraction,event,event,Event,E1,Skill,full_fixed,2,2,,4.5,4.5,4.5,,,,,,atomic_free_generated_card|atomic_random_skill_card,,Add a random Skill into your Hand. It's free to play this turn.
DODGE_AND_ROLL,구르기,Dodge and Roll,silent,character,Common,E1,Skill,full_fixed,2,2,,4.32,4.32,4.32,5.3,5.3,-0.98,-0.98,-0.98,atomic_fixed|delay_next_turn,,"Gain 4 Block. Next turn, gain 4 Block."
DOMINATE,제압,Dominate,ironclad,character,Uncommon,E1,Skill,full_scenario,2,2,,4.25,8.15,33.5,6.5,6.5,-2.25,1.65,27.0,atomic_fixed|scaling_count,,Apply 1 Vulnerable. Gain 1 Strength for each Vulnerable on the enemy.
DOUBLE_ENERGY,에너자이저,Double Energy,defect,character,Uncommon,E1,Skill,partial,0,1,,-1.0,-1.0,-1.0,6.5,6.5,,,,,Double your Energy.,Double your Energy.
DOUBT,의심,Doubt,curse,curse,Curse,E-1,Curse,partial,1,1,UNPLAYABLE,-9.0,-3.885,0.0,,,,,,atomic_self_debuff|condition_probability|recurring_turns,,"At the end of your turn, if this is in your Hand, gain 1 Weak."
DRAIN_POWER,기력 흡수,Drain Power,necrobinder,character,Common,E1,Attack,full_fixed,2,2,,9.0,9.0,9.0,5.3,5.3,3.7,3.7,3.7,atomic_fixed|atomic_upgrade,,Deal 10 damage. Upgrade 2 random cards in your Discard Pile.
DRAMATIC_ENTRANCE,극적인 입장,Dramatic Entrance,colorless,colorless,Uncommon,E0,Attack,full_fixed,1,1,,6.65,6.65,6.65,4.25,4.25,2.4,2.4,2.4,simple_fixed_v3,,Deal 11 damage to ALL enemies.
DREDGE,추출,Dredge,necrobinder,character,Uncommon,E1,Skill,partial,0,1,,-1.0,-1.0,-1.0,6.5,6.5,,,,,Put 3 cards from your Discard Pile into your Hand.,Put 3 cards from your Discard Pile into your Hand.
DRUM_OF_BATTLE,전투의 북소리,Drum of Battle,ironclad,character,Uncommon,E1,Skill,partial,1,2,,3.4,3.4,3.4,6.5,6.5,,,,atomic_fixed,"When this card is Exhausted, gain 2 Energy.","Draw 2 cards. When this card is Exhausted, gain 2 Energy."
DUALCAST,이중 시전,Dualcast,defect,character,Basic,E1,Skill,full_scenario,1,1,,1.5,3.0,8.0,3.0,3.0,-1.5,0.0,5.0,atomic_evoke_orb,,Evoke your rightmost Orb twice.
DUAL_WIELD,이도류,Dual Wield,event,event,Event,E1,Skill,partial,1,2,,1.5,3.0,5.0,,,,,,atomic_copy_selected_hand,Choose an Attack or Power card.,Choose an Attack or Power card. Add a copy of that card into your Hand.
DYING_STAR,죽어가는 별,Dying Star,regent,character,Rare,E1+S3,Attack,full_fixed,2,2,,15.38,15.38,15.38,,,,,,atomic_enemy_strength_loss_turn|atomic_fixed,,Deal 9 damage to ALL enemies. ALL enemies lose 9 Strength this turn.
ECHOING_SLASH,메아리 참격,Echoing Slash,silent,character,Rare,E1,Attack,partial,1,2,,6.5,6.5,6.5,6.5,6.5,,,,atomic_fixed,Repeat this effect for each enemy killed.,Deal 10 damage to ALL enemies. Repeat this effect for each enemy killed.
ECHO_FORM,메아리의 형상,Echo Form,defect,character,Rare,E3,Power,partial,0,1,,-1.0,-1.0,-1.0,20.0,20.0,,,,,The first card you play each turn is played an extra time.,The first card you play each turn is played an extra time.
EIDOLON,허상,Eidolon,necrobinder,character,Rare,E2,Skill,full_scenario,2,2,,-2.0,9.4,17.0,17.0,17.0,-19.0,-7.6,0.0,atomic_exhaust_hand|atomic_intangible|condition_probability,,"Exhaust your Hand. If 9 cards were Exhausted this way, gain 1 Intangible."
END_OF_DAYS,종말의 날,End of Days,necrobinder,character,Rare,E3,Skill,partial,1,2,,10.179,10.179,10.179,20.0,20.0,,,,atomic_fixed,Kill enemies with at least as much Doom as HP.,Apply 29 Doom to ALL enemies. Kill enemies with at least as much Doom as HP.
ENERGY_SURGE,에너지 폭주,Energy Surge,defect,character,Uncommon,E1,Skill,full_scenario,1,1,,4.0,6.5,11.5,6.5,6.5,-2.5,0.0,5.0,all_players|atomic_fixed,,ALL players gain 2 Energy.
ENFEEBLING_TOUCH,쇠약의 손길,Enfeebling Touch,necrobinder,character,Uncommon,E1,Skill,full_fixed,1,1,,6.2,6.2,6.2,6.5,6.5,-0.3,-0.3,-0.3,atomic_enemy_strength_loss_turn,,Enemy loses 8 Strength this turn.
ENLIGHTENMENT,계몽,Enlightenment,event,event,Event,E0,Skill,partial,0,1,,-1.0,-1.0,-1.0,,,,,,,Reduce the cost of ALL cards in your Hand to 1 this turn.,Reduce the cost of ALL cards in your Hand to 1 this turn.
ENTHRALLED,매료됨,Enthralled,curse,curse,Curse,E2,Curse,partial,0,1,,0.0,0.0,0.0,,,,,,,"If this is in your Hand, it must be played before other cards.","If this is in your Hand, it must be played before other cards."
ENTRENCH,참호,Entrench,event,event,Event,E2,Skill,full_scenario,1,1,,1.8,4.8,9.0,,,,,,double_current_block,,Double your Block.
ENTROPY,엔트로피,Entropy,colorless,colorless,Rare,E1,Power,partial,0,1,,0.0,0.0,0.0,9.0,9.0,,,,,"At the start of your turn, Transform 1 card in your Hand.","At the start of your turn, Transform 1 card in your Hand."
ENVENOM,독 바르기,Envenom,silent,character,Rare,E2,Power,full_scenario,1,1,,1.0,3.5,18.0,17.0,17.0,-16.0,-13.5,1.0,atomic_fixed|event_triggers,,"Whenever an Attack deals unblocked damage, apply 1 Poison."
EQUILIBRIUM,평형,Equilibrium,colorless,colorless,Uncommon,E2,Skill,full_fixed,2,2,,9.8,9.8,9.8,12.0,12.0,-2.2,-2.2,-2.2,atomic_fixed|atomic_retain_hand,,Gain 13 Block. Retain your Hand this turn.
ERADICATE,척결,Eradicate,necrobinder,character,Rare,EX,Attack,full_scenario,1,1,,6.0,11.5,22.5,,,,,,atomic_fixed|x_value,,Deal 11 damage X times.
ESCAPE_PLAN,탈출구,Escape Plan,silent,character,Uncommon,E0,Skill,full_scenario,2,2,,1.25,2.51,3.05,5.0,4.3,-3.05,-1.79,-1.25,atomic_fixed|condition_probability,,"Draw 1 card. If you draw a Skill, gain 3 Block."
ETERNAL_ARMOR,영원의 갑옷,Eternal Armor,colorless,colorless,Rare,E3,Power,full_fixed,1,1,,14.4,14.4,14.4,14.5,14.5,-0.1,-0.1,-0.1,simple_fixed_v3,,Gain 9 Plating.
EVIL_EYE,악마의 눈,Evil Eye,ironclad,character,Uncommon,E1,Skill,partial,1,2,,4.8,4.8,4.8,6.5,6.5,,,,atomic_fixed,Gain another 8 Block if you have Exhausted a card this turn.,Gain 8 Block. Gain another 8 Block if you have Exhausted a card this turn.
EXPECT_A_FIGHT,싸움 준비,Expect a Fight,ironclad,character,Uncommon,E2,Skill,partial,1,2,,2.5,5.5,25.0,11.0,11.0,,,,atomic_fixed|scaling_count,You cannot gain additional 1 Energy this turn.,Gain 1 Energy for each Attack in your Hand. You cannot gain additional 1 Energy this turn.
EXPERTISE,전문성,Expertise,silent,character,Uncommon,E1,Skill,partial,0,1,,0.0,0.0,0.0,6.5,6.5,,,,,Draw cards until you have 6 in your Hand.,Draw cards until you have 6 in your Hand.
EXPOSE,들춰내기,Expose,silent,character,Uncommon,E0,Skill,partial,1,2,,3.0,3.0,3.0,5.0,4.3,,,,atomic_fixed,Remove all Artifact and Block from the enemy.,Remove all Artifact and Block from the enemy. Apply 2 Vulnerable.
EXTERMINATE,박멸,Exterminate,event,event,Event,E1,Attack,full_scenario,1,1,,7.8,8.55,10.05,,,,,,multi_hit_strength_synergy|simple_fixed_v3,,Deal 3 damage to ALL enemies 4 times.
FALLING_STAR,별똥별,Falling Star,regent,character,Basic,E0+S2,Attack,full_fixed,3,3,,8.1,8.1,8.1,,,,,,simple_fixed_v3,,Deal 8 damage. Apply 1 Weak. Apply 1 Vulnerable.
FAN_OF_KNIVES,칼날 부채,Fan of Knives,silent,character,Rare,E2,Power,partial,1,2,,7.6,7.6,7.6,17.0,17.0,,,,atomic_fixed,Shivs now hit ALL enemies.,Shivs now hit ALL enemies. Add 4 Shivs into your Hand.
FASTEN,고정시키기,Fasten,colorless,colorless,Uncommon,E1,Power,partial,0,1,,0.0,0.0,0.0,6.8,6.8,,,,,Gain an additional 4 Block from Defend cards.,Gain an additional 4 Block from Defend cards.
FEAR,두려움,Fear,necrobinder,character,Common,E1,Attack,full_fixed,2,2,,4.5,4.5,4.5,5.3,5.3,-0.8,-0.8,-0.8,simple_fixed_v3,,Deal 7 damage. Apply 1 Vulnerable.
FEED,포식,Feed,ironclad,character,Rare,E1,Attack,partial,1,2,,4.0,4.0,4.0,6.5,6.5,,,,atomic_fixed,"If Fatal, raise your Max HP by 3.","Deal 10 damage. If Fatal, raise your Max HP by 3."
FEEDING_FRENZY,광란의 포식,Feeding Frenzy,event,event,Event,E0,Skill,full_fixed,1,1,,4.0,4.0,4.0,,,,,,atomic_temporary_stat,,Gain 5 Strength this turn.
FEEL_NO_PAIN,무감각,Feel No Pain,ironclad,character,Uncommon,E1,Power,full_scenario,1,1,,1.8,6.3,32.4,6.5,6.5,-4.7,-0.2,25.9,atomic_fixed|event_triggers,,"Whenever a card is Exhausted, gain 3 Block."
FERAL,야성,Feral,defect,character,Uncommon,E2,Power,partial,0,1,,0.0,0.0,0.0,11.0,11.0,,,,,"The first time you play a 0 Energy Attack each turn, return it to your Hand.","The first time you play a 0 Energy Attack each turn, return it to your Hand."
FETCH,회수,Fetch,necrobinder,character,Uncommon,E0,Attack,full_scenario,2,2,,1.35,2.225,2.6,5.0,4.3,-2.95,-2.075,-1.7,atomic_fixed|atomic_osty_damage|condition_probability,,"Osty deals 3 damage. If this is the first time this card has been played this turn, draw 1 card."
FIEND_FIRE,지옥불,Fiend Fire,ironclad,character,Rare,E2,Attack,full_scenario,2,2,,0.5,7.7,39.0,17.0,17.0,-16.5,-9.3,22.0,atomic_exhaust_hand|atomic_fixed|scaling_count,,Exhaust your Hand. Deal 7 damage for each card Exhausted.
FIGHT_ME,덤벼라!,Fight Me!,ironclad,character,Uncommon,E2,Attack,partial,2,3,,14.75,15.0,15.5,11.0,11.0,,,,atomic_fixed|multi_hit_strength_synergy,The enemy gains 1 Strength.,Deal 5 damage twice. Gain 3 Strength. The enemy gains 1 Strength.
FIGHT_THROUGH,강행 돌파,Fight Through,defect,character,Uncommon,E1,Skill,full_fixed,2,2,,6.5,6.5,6.5,6.5,6.5,0.0,0.0,0.0,simple_fixed_v3,,Gain 13 Block. Add 2 Wounds into your Discard Pile.
FINESSE,능숙,Finesse,colorless,colorless,Uncommon,E0,Skill,full_fixed,2,2,,3.65,3.65,3.65,4.25,4.25,-0.6,-0.6,-0.6,simple_fixed_v3,,Gain 4 Block. Draw 1 card.
FINISHER,마무리,Finisher,silent,character,Uncommon,E1,Attack,full_scenario,1,1,,3.0,6.6,30.0,6.5,6.5,-3.5,0.1,23.5,atomic_fixed|scaling_count,,Deal 6 damage for each Attack already played this turn.
FISTICUFFS,주먹다짐,Fisticuffs,colorless,colorless,Uncommon,E1,Attack,full_scenario,2,2,,5.3,8.3,12.5,6.8,6.8,-1.5,1.5,5.7,atomic_fixed|equal_to_quantity,,Deal 7 damage. Gain Block equal to damage dealt.
FLAK_CANNON,대공포,Flak Cannon,defect,character,Rare,E2,Attack,partial,0,2,,0.0,0.0,0.0,17.0,17.0,,,,,Exhaust ALL your Status cards. || Deal 8 damage to a random enemy for each card Exhausted.,Exhaust ALL your Status cards. Deal 8 damage to a random enemy for each card Exhausted.
FLAME_BARRIER,화염 장벽,Flame Barrier,ironclad,character,Uncommon,E2,Skill,partial,1,2,,7.2,7.2,7.2,11.0,11.0,,,,atomic_fixed,"Whenever you are attacked this turn, deal 4 damage back.","Gain 12 Block. Whenever you are attacked this turn, deal 4 damage back."
FLANKING,측면 공격,Flanking,silent,character,Uncommon,E2,Skill,partial,0,1,,0.0,0.0,0.0,11.0,11.0,,,,,The enemy takes double attack damage from other players this turn.,The enemy takes double attack damage from other players this turn.
FLASH_OF_STEEL,강철의 섬광,Flash of Steel,colorless,colorless,Uncommon,E0,Attack,full_fixed,2,2,,3.75,3.75,3.75,4.25,4.25,-0.5,-0.5,-0.5,simple_fixed_v3,,Deal 5 damage. Draw 1 card.
FLATTEN,땅고르기,Flatten,necrobinder,character,Common,E2,Attack,partial,1,2,,5.4,5.4,5.4,9.0,9.0,,,,atomic_osty_damage,This card costs 0 Energy if Osty has attacked this turn.,Osty deals 12 damage. This card costs 0 Energy if Osty has attacked this turn.
FLECHETTES,프레췌,Flechettes,silent,character,Uncommon,E1,Attack,full_scenario,1,1,,2.5,5.5,25.0,6.5,6.5,-4.0,-1.0,18.5,atomic_fixed|scaling_count,,Deal 5 damage for each Skill in your Hand.
FLICK_FLACK,재주넘기,Flick-Flack,silent,character,Common,E1,Attack,partial,1,1,SLY,3.9,3.9,3.9,5.3,5.3,,,,simple_fixed_v3,,Deal 6 damage to ALL enemies.
FOCUSED_STRIKE,밀집 타격,Focused Strike,defect,character,Common,E1,Attack,full_fixed,2,2,,5.3,5.3,5.3,5.3,5.3,0.0,0.0,0.0,atomic_fixed|atomic_temporary_stat,,Deal 9 damage. Gain 1 Focus this turn.
FOLLY,어리석음,Folly,curse,curse,Curse,E-1,Curse,partial,0,0,UNPLAYABLE,-0.5,-0.5,-0.5,,,,,,,,
FOOTWORK,발놀림,Footwork,silent,character,Uncommon,E1,Power,full_fixed,1,1,,6.5,6.5,6.5,6.5,6.5,0.0,0.0,0.0,simple_fixed_v3,,Gain 2 Dexterity.
FORBIDDEN_GRIMOIRE,금지된 마도서,Forbidden Grimoire,necrobinder,character,Ancient,E2,Power,partial,0,1,,0.0,0.0,0.0,,,,,,,"At the end of combat, you may remove a card from your Deck.","At the end of combat, you may remove a card from your Deck."
FOREGONE_CONCLUSION,필연적인 결과,Foregone Conclusion,regent,character,Rare,E1,Skill,partial,0,1,,0.0,0.0,0.0,6.5,6.5,,,,,"Next turn, put 2 cards from your Draw Pile into your Hand.","Next turn, put 2 cards from your Draw Pile into your Hand."
FORGOTTEN_RITUAL,잊힌 의식,Forgotten Ritual,ironclad,character,Uncommon,E1,Skill,full_scenario,1,1,,-1.0,4.25,6.5,6.5,6.5,-7.5,-2.25,0.0,atomic_fixed|condition_probability,,"If you Exhausted a card this turn, gain 3 Energy."
FRANTIC_ESCAPE,필사적인 도주,Frantic Escape,status,status,Status,E1,Status,partial,0,3,,0.0,0.0,0.0,,,,,,,Get farther away. || Increase Sandpit by 1. || Increase the cost of this card by 1.,Get farther away. Increase Sandpit by 1. Increase the cost of this card by 1.
FRIENDSHIP,우정,Friendship,necrobinder,character,Uncommon,E1,Power,full_scenario,2,2,,-1.5,13.75,25.0,6.5,6.5,-8.0,7.25,18.5,atomic_fixed|atomic_lose_strength_conditional_stock|recurring_resource_turns,,Lose 2 Strength. Gain 1 Energy at the start of each turn.
FTL,FTL,FTL,defect,character,Uncommon,E0,Attack,full_scenario,2,2,,2.5,3.375,3.75,5.0,4.3,-1.8,-0.925,-0.55,atomic_fixed|condition_probability,,"Deal 5 damage. If you have played fewer than 3 cards this turn, draw 1 card."
FUEL,연료,Fuel,token,token,Token,E0,Skill,full_fixed,2,2,,2.75,2.75,2.75,,,,,,simple_fixed_v3,,Gain 1 Energy. Draw 1 card.
FURNACE,용광로,Furnace,regent,character,Uncommon,E1,Power,full_scenario,1,1,,2.475,6.105,9.9,6.5,6.5,-4.025,-0.395,3.4,atomic_fixed|recurring_turns,,"At the start of your turn, Forge 5."
FUSION,융합,Fusion,defect,character,Uncommon,E1,Skill,full_fixed,1,1,,6.0,6.0,6.0,6.5,6.5,-0.5,-0.5,-0.5,simple_fixed_v3,,Channel 1 Plasma.
GAMMA_BLAST,감마 세례,Gamma Blast,regent,character,Uncommon,E0+S3,Attack,full_fixed,3,3,,14.7,14.7,14.7,,,,,,simple_fixed_v3,,Deal 13 damage. Apply 2 Weak. Apply 2 Vulnerable.
GANG_UP,집단 공격,Gang Up,colorless,colorless,Uncommon,E1,Attack,partial,1,2,,2.5,2.5,2.5,6.8,6.8,,,,atomic_fixed,Deals 5 additional damage for each time another player has attacked the enemy this turn.,Deal 5 damage. Deals 5 additional damage for each time another player has attacked the enemy this turn.
GATHER_LIGHT,빛 거두기,Gather Light,regent,character,Common,E1,Skill,full_fixed,2,2,,6.3,6.3,6.3,5.3,5.3,1.0,1.0,1.0,simple_fixed_v3,,Gain 8 Block. Gain 1 Stars.
GENESIS,창세,Genesis,regent,character,Rare,E2,Power,full_scenario,1,1,,4.5,11.1,18.0,17.0,17.0,-12.5,-5.9,1.0,atomic_fixed|recurring_turns,,"At the start of your turn, gain 2 Stars."
GENETIC_ALGORITHM,유전 알고리즘,Genetic Algorithm,defect,character,Rare,E1,Skill,partial,1,2,,-0.4,-0.4,-0.4,6.5,6.5,,,,atomic_fixed,Permanently increase this card's Block by 3.,Gain 1 Block. Permanently increase this card's Block by 3.
GIANT_ROCK,거대한 바위,Giant Rock,token,token,Token,E1,Attack,full_fixed,1,1,,8.0,8.0,8.0,,,,,,simple_fixed_v3,,Deal 16 damage.
GLACIER,빙하,Glacier,defect,character,Uncommon,E2,Skill,full_fixed,2,2,,10.0,10.0,10.0,11.0,11.0,-1.0,-1.0,-1.0,simple_fixed_v3,,Gain 6 Block. Channel 2 Frost.
GLASSWORK,유리 공예,Glasswork,defect,character,Uncommon,E1,Skill,full_fixed,2,2,,6.5,6.5,6.5,6.5,6.5,0.0,0.0,0.0,simple_fixed_v3,,Gain 5 Block. Channel 1 Glass.
GLIMMER,희미한 빛,Glimmer,regent,character,Uncommon,E1,Skill,full_fixed,2,2,,5.05,5.05,5.05,6.5,6.5,-1.45,-1.45,-1.45,atomic_fixed|atomic_hand_to_topdeck,,Draw 3 cards. Put 1 card from your Hand on top of your Draw Pile.
GLIMPSE_BEYOND,경계 엿보기,Glimpse Beyond,necrobinder,character,Rare,E1,Skill,partial,0,1,,-1.0,-1.0,-1.0,6.5,6.5,,,,,ALL players add 3 Souls into their Draw Pile.,ALL players add 3 Souls into their Draw Pile.
