rule,confidence,effect_count,card_count,median_score_low,median_score_baseline,median_score_high,example_card,example_text,basis
hand_cost_increase,low,1,1,-10.0,-5.0,-2.5,Borrowed Time,Cards cost an additional 1 Energy this turn.,affected cards this turn
hand_redraw_equal,low,1,1,1.0,4.0,8.0,Calculated Gamble,"Discard your Hand, then draw that many cards.",hand replacement and discard synergy; hand-size scenarios
hang_damage_amplifier,low,1,1,0.0,5.0,15.0,Hang,Double the damage ALL Hang cards deal to this enemy.,0/1/3 future 10-damage Hang hits
intercept_attacks,low,1,1,-6.0,1.5,10.0,Intercept,Redirect all incoming attacks that would be dealt to another player this turn to you.,ally protection minus redirected personal damage
lightning_followup_damage,low,1,1,2.7,9.45,27.0,Thunder,"Whenever you Evoke Lightning, deal 6 damage to each enemy hit.",random damage × Lightning evokes
lightning_history_scaling,low,1,1,2.2,8.8,22.0,Voltaic,Channel Lightning equal to the Lightning already Channeled this combat.,prior Lightning count
meta_card_reward,low,1,1,0.0,2.1,6.0,The Hunt,"If Fatal, gain an additional card reward.",reward quality and Fatal chance
meta_deck_removal,low,1,1,3.0,6.0,10.0,Forbidden Grimoire,"At the end of combat, you may remove a card from your Deck.",permanent deck quality
meta_future_gold_site,low,1,1,6.0,12.0,24.0,Spoils Map,Marks a site of 600 extra Gold in the next Act.,delayed/event access discount
meta_max_hp_loss,medium,1,1,-1.5,-1.5,-1.5,Brightest Flame,Lose 1 Max HP.,persistent Max HP penalty
meta_random_potion,low,1,1,3.0,7.0,12.0,Alchemize,Procure a random potion.,potion slot and quality
multi_evoke,low,1,1,3.0,10.0,24.0,Quadcast,Evoke your rightmost Orb 4 times.,orb type dependent
next_card_topdeck,medium,1,1,1.5,1.5,1.5,Rebound,Put the next card you play this turn on top of your Draw Pile.,delayed selected access
orb_diversity_bundle,low,1,1,0.0,5.0,8.2,Rainbow,orb_diversity_bundle,V3 cross-effect interaction
osty_alive_combo,medium,1,1,0.0,7.465,10.665,Bone Shards,"If Osty is alive, he deals 9 damage to ALL enemies and you gain 9 Block.",conditional damage plus Block
osty_damage_aura,low,1,1,1.8,6.3,32.4,Calcify,Osty's attacks deal 4 additional damage.,future Osty hits
osty_damage_debuff,medium,1,1,11.635,11.635,11.635,High Five,Osty deals 11 damage and applies 2 Vulnerable to ALL enemies.,Osty damage and debuff
osty_death,low,1,1,-25.0,-10.0,-3.0,Bone Shards,Osty dies.,lost companion HP/attacks
osty_extra_hits,low,1,1,0.0,3.15,12.6,Rattle,Hits an additional time for each other time he has attacked this turn.,0/1/4 earlier Osty attacks
osty_heal,medium,1,1,2.0,2.0,2.0,Spur,Osty heals 5 HP.,companion HP
osty_hp_mirror_damage,low,1,1,2.0,7.0,18.0,Necro Mastery,"Whenever Osty loses HP, ALL enemies lose that much HP as well.",future Osty HP loss
osty_random_damage,medium,1,1,4.5,4.5,4.5,Sweeping Gaze,Osty deals 10 damage to a random enemy.,Osty random-target damage unit
partial_tutor_draw_to_hand,medium,1,1,2.5,2.5,2.5,Seeker Strike,Choose 1 of 3 cards in your Draw Pile to add into your Hand.,selected draw-pile access
percent_damage_bonus,low,1,1,1.25,3.0,6.25,Cruelty,Vulnerable enemies take an additional 25% damage.,expected affected attack damage
permanent_block_growth,low,1,1,1.8,5.4,12.6,Genetic Algorithm,Permanently increase this card's Block by 3.,future-combat uses
permanent_damage_growth,low,1,1,2.0,6.0,14.0,The Scythe,Permanently increase this card's damage by 4.,future-combat uses
persistent_weak_double_damage,low,1,1,2.5,12.5,30.0,Tracking,Weak enemies take double damage from Attacks.,additional Attack damage across Weak windows
play_exhausted_shivs,low,1,1,0.0,8.0,20.0,Knife Trap,Play every Shiv in your Exhaust Pile on the enemy.,0/4/10 exhausted Shivs replayed
random_attacks_to_draw,low,1,1,4.5,4.5,4.5,Metamorphosis,Add 3 random Attacks into your Draw Pile.,generated attack discounted by destination
random_damage_per_exhausted,low,1,1,0.0,7.92,21.6,Flak Cannon,Deal 8 damage to a random enemy for each card Exhausted.,0/2.2/6 Status cards exhausted
random_damage_twice,medium,1,1,6.3,6.3,6.3,Rip and Tear,Deal 7 damage to a random enemy twice.,random-target damage unit × 2
random_fixed_cost_cards,low,1,1,9.0,9.0,9.0,Jackpot,Add 3 random 0 Energy cards into your Hand.,random hand generation
random_orb,medium,1,1,3.2,3.2,3.2,Chaos,Channel 1 random Orb.,mean channel value
recurring_draw_and_exhaust,low,1,1,-6.0,3.7,13.5,Tyranny,"At the start of your turn, draw 1 card and Exhaust 1 card from your Hand.",forced exhaust quality × active turns
recurring_draw_reduction,low,1,1,-12.5,-8.5,-2.5,Mind Rot,Draw 1 fewer card each turn.,one fewer draw × combat turns
recurring_energy_reduction,low,1,1,-25.0,-17.0,-5.0,Waste Away,Gain 1 less Energy per turn.,one less Energy × combat turns
recurring_gold_loss_curse,low,1,1,-5.0,-2.0,-1.0,Debt,"At the end of your turn, if this is in your Hand, lose 10 Gold.",1/2/5 end-turn Gold losses
recurring_growing_aoe,low,1,1,6.094,28.259,68.25,Rolling Boulder,"At the start of your turn, deal 5 damage to ALL enemies and increase this damage by 5.",arithmetic damage growth × active turns
recurring_random_attack_autoplay,low,1,1,5.25,12.95,21.0,Stampede,"At the end of your turn, 1 random Attack in your Hand is played against a random enemy.",average free Attack × active turns
recurring_random_transform,low,1,1,-3.0,5.55,24.0,Entropy,"At the start of your turn, Transform 1 card in your Hand.",random transform quality × active turns
recurring_self_doom,low,1,1,-12.0,-5.5,-1.5,Neurosurge,"At the start of your turn, apply 3 Doom to yourself.",self-Doom lethality across active turns
recurring_sweeping_gaze,low,1,1,3.5,16.65,27.0,Sentry Mode,"At the start of your turn, add 1 Sweeping Gaze into your Hand.",generated zero-cost Osty attack × active turns
recurring_topdeck_autoplay,low,1,1,3.0,14.8,42.0,Mayhem,"At the start of your turn, play the top card of your Draw Pile.",average auto-played card × active turns
recurring_upgraded_attack_retrieval,low,1,1,3.0,12.0,24.0,Aggression,"At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it.",random retrieval plus upgrade across active turns
reflect_blocked_damage,low,1,1,2.5,6.0,7.5,Reflect,Blocked attack damage is reflected to your attacker this turn.,5/12/15 reflected damage
repeat_aoe_per_kill,low,1,1,0.0,6.5,19.5,Echoing Slash,Repeat this effect for each enemy killed.,0/1/3 chained kills
retain_block_once,low,1,1,2.0,5.0,10.0,Blur,Block is not removed at the start of your next turn.,carried Block
retain_block_power,low,1,1,6.0,15.0,30.0,Barricade,Block is not removed at the start of your turn.,multi-turn carried Block
retrieve_sovereign_blade,medium,1,1,2.5,2.5,2.5,Summon Forth,Put Sovereign Blade into your Hand from anywhere.,specific 10-damage card access
sacrifice_osty_for_block,low,1,1,-5.0,7.0,18.0,Sacrifice,"If Osty is alive, he dies and you gain Block equal to double his Max HP.",double-Max-HP Block minus lost companion value
selected_card_multi_play,low,1,1,4.0,10.0,20.0,"Decisions, Decisions",Choose a Skill in your Hand and play it 3 times.,average selected card repeats
selected_exhaust_three,medium,1,1,3.0,3.0,3.0,Purity,Exhaust up to 3 cards in your Hand.,selected exhaust = 1 point each
selected_replay_with_combo_range,low,1,1,3.0,8.0,20.0,Transfigure,Add Replay to a card in your Hand.,selected repeated-card value before added Energy cost
self_damage_growth_combat,low,1,1,0.0,2.5,7.5,Rampage,Increase this card's damage by 5 this combat.,0/1/3 future plays
self_damage_growth_on_draw,low,1,1,2.0,4.0,6.0,Kingly Punch,"Whenever you draw this card, increase its damage by 4 this combat.",1/2/3 draws this combat
self_exhaust_energy,medium,1,1,5.0,5.0,5.0,Drum of Battle,"When this card is Exhausted, gain 2 Energy.",self-Exhaust reliably triggers 2 Energy
self_removing_curse,low,1,1,1.0,2.0,4.0,Guilty,Removed from your Deck after 5 combats.,bounded curse lifetime versus permanent clog
self_return_hand,low,1,1,1.0,2.5,5.0,Particle Wall,Return this card to your Hand.,replay access
self_return_on_expensive_card,low,1,1,0.0,1.8,5.4,Right Hand Hand,"Whenever you play a card that costs 2 Energy or more, return this to your Hand from the Discard Pile.",0/1/3 extra Osty attacks
self_return_skill_threshold,low,1,1,0.0,3.0,6.0,Make It So,"Every 3 Skills you play in a turn, put this into your Hand.",0/1/2 returns of a 6-damage zero-cost card
self_topdeck,low,1,1,-0.5,0.5,2.0,Shining Strike,Put this card on top of your Draw Pile.,future redraw versus draw clog
shiv_aoe_conversion,low,1,1,0.0,2.28,4.0,Fan of Knives,Shivs now hit ALL enemies.,AoE premium on four generated Shivs
shiv_damage_aura,low,1,1,2.0,8.0,20.0,Accuracy,Shivs deal 4 additional damage.,future Shiv count
shiv_retain_aura,low,1,1,0.5,2.0,4.0,Phantom Blades,Shivs gain Retain.,1/4/8 Shivs retained
shuffle_all_piles,low,1,1,0.5,1.5,3.0,Reboot,Shuffle ALL your cards into your Draw Pile.,reshuffle availability
shuffle_tutor,low,1,1,0.0,2.5,7.5,Stratagem,"Whenever you shuffle your Draw Pile, choose a card from it to put into your Hand.",0/1/3 shuffles × selected access
skill_exhaust_aura,low,1,1,-2.0,1.0,5.0,Corruption,"Whenever you play a Skill, Exhaust it.",lost reuse versus exhaust/deck-thinning synergies
skill_gains_sly,low,1,1,2.0,7.0,16.0,Master Planner,"When you play a Skill, it gains Sly.",Sly enablement × future Skill/discard events
skills_cost_zero,low,1,1,2.5,7.5,15.0,Corruption,Skills cost 0 Energy.,skills played after power
soul_trigger_hp_loss,low,1,1,0.0,9.9,33.0,Haunt,"Whenever you play a Soul, a random enemy loses 6 HP.",HP loss × Soul plays
splash_damage_copy,medium,1,1,3.2,3.2,3.2,Omnislice,Damage ALL other enemies equal to the damage dealt.,copied base damage
spread_debuffs,low,1,1,2.0,7.0,16.0,Misery,Apply any debuffs on the enemy to ALL other enemies.,existing debuff stack
status_draw_compensation,low,1,1,0.0,5.1,13.6,Iteration,"The first time you draw a Status each turn, draw 2 cards.",0/1.5/4 Status draws
status_trigger_random_orb,low,1,1,3.2,11.2,32.0,Trash to Treasure,"Whenever you create a Status, Channel 1 random Orb.",mean Orb value × Status creation events
strike_draw_autoplay,low,1,1,3.0,10.5,30.0,Hellraiser,"Whenever you draw a card containing “Strike”, it is played against a random enemy.",average free Strike × draw events
strip_enemy_defense,low,1,1,1.0,4.0,10.0,Expose,Remove all Artifact and Block from the enemy.,enemy state dependent
three_random_colorless_diminishing,low,1,1,5.0,7.5,10.0,Bundle of Joy,Add 3 random Colorless cards into your Hand.,three random cards with hand-clog and diminishing-choice discount
threshold_delayed_draw_recurring,low,1,1,0.0,2.5,6.25,Pale Blue Dot,"If you play 5 or more cards in a turn, draw 1 card at the start of your next turn.",0/2/5 successful turn thresholds
transform_hand_to_minion_sacrifice,low,1,1,3.8,11.4,22.8,GUARDS!!!,Transform any number of cards in your Hand into Minion Sacrifice.,1/3/6 zero-cost Minion Sacrifice outputs
transform_to_minion_strike,medium,1,1,3.25,3.25,3.25,BEGONE!,Choose a card in your Hand to Transform into Minion Strike.,Minion Strike damage/draw/Exhaust net value
transform_to_soul,medium,1,1,2.4,2.4,2.4,Seance,Transform a card in your Draw Pile into Soul.,Soul draw/Exhaust net value
transform_two_to_dive_bombs,low,1,1,5.0,8.0,11.0,CHARGE!!,Choose 2 cards in your Draw Pile to Transform into Minion Dive Bombs.,two zero-cost 13-damage outputs minus replaced cards
trigger_all_dark,low,1,1,2.0,8.0,20.0,Darkness,Trigger the passive ability of all Dark Orbs.,Dark count and charge
trigger_all_lightning,low,1,1,2.0,8.0,20.0,Tesla Coil,Trigger all Lightning against the enemy.,Lightning count
two_free_cards_each_turn,low,1,1,7.5,18.5,30.0,Void Form,The first 2 cards you play each turn are free to play.,two average 1-cost cards × active turns
two_turn_block_lock,low,1,1,-15.0,-8.0,-3.0,Panic Button,You cannot gain Block from cards for 2 turns.,foregone card Block over two turns
upgrade_all_cards,low,1,1,12.0,25.0,45.0,Apotheosis,Upgrade ALL your cards.,deck-wide upgrade count
x_enemy_strength_loss,medium,1,1,2.0,4.0,8.0,Malaise,Enemy loses X Strength.,persistent enemy Strength-loss unit × X
x_evoke,low,1,1,0.75,5.0,24.0,Multi-Cast,Evoke your rightmost Orb X times.,X and orb type
x_summon,medium,1,1,3.3,6.6,13.2,Dirge,Summon 3 X times.,Summon unit × 3 × X
x_threshold_double,low,1,1,0.0,0.0,16.0,Heavenly Drill,Double X if it's 4 or more.,bonus is inactive at X=1/2 and adds four hits at X=4
x_topdeck_autoplay,low,1,1,2.0,8.0,28.0,Cascade,Play the top X cards of your Draw Pile.,average auto-play value × X=1/2/4
zero_cost_attack_return,low,1,1,3.0,7.4,14.0,Feral,"The first time you play a 0 Energy Attack each turn, return it to your Hand.",average 0-cost Attack replay × active turns
